age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,target
38,6,11,2,12,0,4,1,0,0,35,1
63,4,15,0,10,4,4,0,0,0,45,1
45,4,15,4,1,1,4,0,0,0,48,1
58,4,9,5,10,1,4,1,0,0,99,1
46,7,11,2,11,0,4,1,0,0,40,1
38,0,0,2,0,0,4,1,0,0,40,1
21,4,1,4,3,1,4,1,0,0,40,1
55,2,8,2,3,2,4,0,0,51,48,1
43,2,15,5,4,1,2,0,0,0,52,1
31,4,9,2,1,0,4,1,0,0,30,0
26,4,11,4,1,3,4,0,0,0,40,1
42,4,11,2,8,0,4,1,0,0,10,1
27,1,12,4,10,3,4,1,63,0,40,1
34,4,6,4,3,1,4,1,0,0,40,1
41,4,9,0,10,1,4,0,0,0,50,0
64,6,12,0,4,4,4,0,0,0,55,1
22,2,10,4,10,3,4,1,0,0,40,1
66,4,2,2,7,0,4,1,0,0,40,0
64,4,15,2,8,0,4,1,0,0,15,1
56,4,15,2,8,0,4,1,0,0,40,0
19,0,1,4,0,1,2,0,0,0,40,1
26,7,8,4,3,3,4,0,0,0,40,1
61,4,11,0,3,4,4,0,0,0,60,1
30,4,15,0,12,1,4,1,0,0,43,1
21,4,11,4,3,1,4,1,58,0,30,1
53,4,11,2,10,0,4,1,0,0,50,0
43,7,15,4,8,1,4,1,0,0,25,0
26,4,7,4,8,2,4,1,70,0,40,1
23,4,15,4,1,3,4,1,39,0,25,1
21,2,2,4,10,1,4,1,0,0,40,1
38,4,11,2,14,5,2,0,0,0,40,0
27,4,4,4,4,3,2,1,0,0,52,1
64,4,15,2,10,0,2,1,0,0,55,1
51,0,11,6,0,4,4,0,0,0,40,1
50,4,15,2,11,0,1,1,0,0,10,0
28,4,12,4,14,2,4,1,0,0,60,1
35,4,11,2,12,0,0,1,0,0,60,0
57,1,11,2,3,1,4,0,77,25,24,0
57,4,11,6,3,1,4,1,0,5,8,1
40,6,15,0,3,1,4,1,0,0,40,1
28,4,11,2,4,0,4,1,23,0,40,0
53,4,12,2,12,0,4,1,0,0,42,1
20,4,0,4,3,3,4,0,0,0,40,1
64,0,5,2,0,0,4,1,0,0,40,0
27,5,9,0,4,3,4,0,0,0,40,1
26,4,9,0,4,4,4,1,0,0,60,1
32,4,12,4,4,1,4,0,0,0,50,1
21,4,15,4,12,1,4,0,0,0,40,1
44,2,15,2,4,0,4,1,0,0,40,1
23,1,9,4,4,1,4,1,37,0,6,1
40,5,11,0,4,4,4,0,0,0,40,1
25,4,9,4,12,3,4,1,0,0,40,1
47,2,7,2,1,0,0,1,0,0,40,1
25,6,11,4,3,3,4,1,0,0,40,1
34,4,15,2,12,0,4,1,0,0,40,0
31,5,15,2,11,0,4,1,0,0,38,1
28,4,11,0,8,1,2,0,0,0,38,1
25,4,11,4,12,4,4,1,0,0,50,1
61,4,11,2,8,0,4,1,0,0,43,1
30,4,9,2,4,5,4,0,0,0,55,1
27,4,11,4,6,1,0,1,0,0,10,1
33,4,6,2,7,0,4,1,0,0,40,0
47,4,9,4,8,3,4,1,0,19,25,1
35,4,7,2,6,0,2,1,0,0,48,0
27,4,0,4,7,3,4,1,0,0,40,1
36,0,15,2,0,0,4,1,0,0,20,0
43,0,15,2,0,0,2,1,0,0,40,0
24,4,11,4,7,3,4,0,0,0,55,1
54,1,11,2,0,0,4,1,0,0,40,0
29,6,15,2,3,0,4,1,0,0,40,1
28,4,11,2,10,0,4,1,0,0,40,0
41,4,7,2,1,0,4,1,0,0,72,1
44,2,11,2,10,0,4,1,0,0,45,0
40,4,11,4,1,1,4,0,0,0,40,1
45,4,15,2,7,0,4,1,0,0,40,1
20,2,3,4,8,1,4,1,0,28,80,1
63,4,9,2,6,0,4,1,0,0,40,1
31,4,12,2,4,0,4,1,0,0,40,0
19,4,9,4,10,3,4,0,0,0,20,1
58,4,11,0,6,4,0,0,0,0,45,1
52,4,8,4,4,3,4,0,0,0,45,0
26,4,15,2,8,0,4,1,0,0,45,1
25,4,12,2,1,3,4,1,0,0,40,0
17,4,9,4,12,3,4,0,0,0,45,1
36,4,11,2,6,0,4,1,0,0,40,1
27,4,15,4,12,3,4,1,0,0,60,1
41,4,11,2,7,0,4,1,0,0,40,0
64,4,9,3,12,1,4,1,0,0,40,1
59,6,11,2,5,0,4,1,0,0,40,1
48,4,11,5,8,4,4,0,0,0,35,1
43,4,8,0,3,1,2,0,0,0,40,1
44,4,11,4,12,1,4,1,0,0,35,1
43,4,9,2,1,0,4,1,0,0,32,1
48,4,11,2,7,0,4,1,0,0,40,1
34,4,11,2,14,0,4,1,0,0,55,1
25,0,15,4,0,3,4,1,0,0,15,1
26,4,11,4,4,3,4,1,0,45,60,1
62,4,1,4,3,3,4,1,0,0,40,1
23,4,11,4,3,4,4,0,62,0,50,1
20,4,15,4,4,1,4,1,0,0,50,1
51,4,7,2,14,0,4,1,0,0,60,0
35,4,8,0,1,1,2,0,0,0,40,1
56,6,9,6,12,4,4,0,0,0,42,1
35,4,7,4,12,3,2,0,0,0,18,0
30,6,6,2,5,0,4,1,0,0,45,1
74,4,9,5,1,1,2,0,0,0,40,1
56,2,15,2,1,0,4,1,0,0,40,0
34,4,7,0,4,1,4,0,0,0,60,1
20,4,7,4,4,3,4,1,0,0,45,1
22,7,11,2,5,2,4,1,0,0,15,1
32,4,1,4,8,2,4,0,0,0,40,1
39,4,11,4,5,3,1,1,94,0,45,1
27,6,2,4,5,4,2,0,0,0,44,1
55,4,11,6,14,1,4,1,0,0,40,1
29,4,15,2,14,0,4,1,0,0,40,1
50,4,9,2,3,0,4,1,0,0,50,1
40,6,11,0,5,4,4,0,0,0,40,1
36,4,15,2,3,0,4,1,0,0,60,0
49,4,11,2,8,0,4,1,0,0,20,1
21,4,8,4,12,1,2,0,0,0,35,1
54,4,11,6,3,2,2,0,0,0,45,1
21,0,11,4,0,1,4,1,0,0,15,1
30,5,9,0,4,1,4,0,0,0,45,1
52,4,0,2,3,2,4,1,0,0,40,0
30,4,9,2,10,0,4,1,0,0,50,1
49,0,11,2,0,0,4,1,0,0,6,1
46,4,15,0,3,1,4,1,0,12,60,1
21,6,1,4,8,1,4,1,27,0,18,1
51,4,15,3,10,2,4,1,0,8,40,1
46,4,9,2,4,5,4,0,0,0,50,0
36,1,10,4,10,4,4,0,0,0,40,0
10,0,11,0,0,1,4,1,0,0,26,1
34,4,15,4,1,3,2,0,0,0,40,1
53,5,9,0,4,1,4,1,0,0,39,1
47,4,9,5,1,1,4,1,44,23,15,1
56,4,8,0,8,4,4,0,0,0,35,1
48,4,11,2,7,0,4,1,0,0,40,0
66,0,8,4,0,3,4,1,0,0,40,1
20,4,11,4,14,2,4,1,0,0,20,1
77,6,5,5,3,1,4,0,0,0,28,1
20,4,9,4,10,2,4,1,0,0,10,1
39,6,0,0,3,1,4,1,0,0,40,1
47,4,5,2,12,0,4,1,0,0,40,0
50,4,8,2,3,0,4,1,0,0,40,0
50,0,12,2,0,0,4,1,0,0,40,0
33,4,15,4,10,3,4,1,0,0,40,1
28,4,1,2,3,0,4,1,0,0,40,1
25,7,9,5,4,4,4,0,0,0,45,1
72,6,9,4,10,3,4,1,0,0,45,1
47,4,15,6,8,4,4,0,0,0,38,1
58,4,15,2,3,0,4,1,0,0,50,0
31,4,15,2,4,0,4,1,0,0,40,1
63,4,0,0,7,1,4,1,0,0,50,0
53,7,15,6,4,4,4,0,0,0,45,1
38,4,11,4,4,1,4,1,0,0,40,1
20,4,11,4,12,1,4,1,0,0,55,1
