age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,target
24,4,12,2,4,0,4,1,0,0,40,0
43,4,10,2,4,0,1,1,0,0,45,0
19,4,11,4,5,3,4,1,0,0,20,1
46,4,15,2,7,0,4,1,0,0,45,1
64,4,3,4,3,3,4,0,3,0,15,1
63,7,15,4,4,3,4,1,0,0,60,1
46,4,11,2,6,5,4,0,0,0,45,0
19,1,15,4,8,1,4,0,0,0,8,1
66,4,9,4,4,4,4,0,0,0,40,1
36,4,11,4,13,2,4,0,0,0,40,1
28,4,11,6,6,1,4,1,0,0,25,1
47,4,15,2,3,0,4,1,0,0,40,1
23,1,12,4,10,1,4,1,0,0,52,0
23,4,11,4,14,1,4,1,0,0,40,1
36,0,15,0,0,1,4,1,0,0,40,1
20,4,1,4,6,1,4,1,0,0,20,1
32,6,10,0,10,1,4,1,0,0,40,1
59,4,15,2,3,0,1,1,0,0,40,1
25,4,15,2,1,0,4,1,0,0,25,0
31,4,0,4,7,1,4,1,0,0,40,1
22,4,8,4,9,1,2,1,0,0,10,1
48,4,15,0,12,1,4,0,0,0,40,1
25,4,11,4,7,1,2,1,0,0,40,1
48,4,11,2,3,0,4,1,0,0,80,1
40,4,9,0,12,1,4,1,0,0,43,1
36,4,0,4,8,1,4,1,0,91,40,1
28,4,15,2,14,0,4,1,0,0,30,0
33,4,9,4,11,4,4,0,0,0,40,1
27,5,9,4,4,3,4,1,67,0,49,1
34,4,11,2,14,0,4,1,0,0,40,1
26,4,15,4,8,3,4,1,0,0,40,1
39,4,11,2,8,5,4,0,0,0,42,1
30,4,9,4,12,1,4,0,0,0,16,1
71,4,11,2,14,5,4,0,0,31,99,0
47,4,11,2,14,0,4,1,0,0,50,1
38,4,9,2,4,5,4,0,0,0,50,1
57,4,11,4,10,1,4,0,98,0,40,1
28,2,11,2,8,0,4,1,0,0,40,1
18,5,9,6,12,4,4,1,0,0,15,1
33,6,9,2,12,0,4,1,0,0,40,1
69,4,5,2,3,0,4,1,0,0,8,1
39,4,15,2,14,0,4,1,0,0,40,0
32,4,7,0,13,4,4,1,0,0,40,1
38,4,11,0,3,4,4,0,0,0,40,1
31,6,4,2,3,0,4,1,0,0,40,1
22,4,15,4,8,3,4,1,0,0,40,1
54,4,11,2,4,0,1,1,0,0,40,1
33,1,15,2,13,0,4,1,0,37,40,1
30,4,15,2,13,0,4,1,0,0,60,0
27,1,9,4,1,3,4,0,0,0,40,1
24,4,14,4,7,2,4,1,0,0,45,1
29,0,15,4,0,2,4,1,0,0,40,1
17,4,10,4,10,2,4,0,0,0,45,1
40,4,15,0,12,2,4,1,28,0,40,1
52,4,14,0,10,1,4,1,0,0,40,1
56,4,11,2,3,0,4,1,0,0,45,1
24,4,9,4,10,3,4,1,0,0,40,1
63,4,11,2,14,0,1,1,0,0,55,1
48,4,11,2,3,0,4,1,0,0,40,1
27,4,9,2,10,0,4,1,10,0,35,1
47,4,15,2,4,0,4,1,0,0,45,1
66,4,15,0,12,1,4,1,48,0,50,1
36,4,9,2,3,0,4,1,0,0,40,1
60,4,15,0,12,1,4,1,5,0,40,1
29,4,0,6,8,4,4,0,0,0,60,1
38,4,14,2,1,0,4,1,0,0,40,0
27,4,7,4,10,1,4,0,0,0,40,1
47,4,8,5,5,4,4,0,0,0,40,1
21,6,11,0,3,1,4,1,0,0,40,1
30,4,11,5,1,1,4,0,0,0,20,1
22,4,11,4,12,3,4,0,0,0,25,1
38,4,9,0,4,1,4,1,0,0,60,1
35,4,9,4,4,2,4,0,0,0,38,1
47,4,15,2,12,0,4,1,0,0,40,1
72,1,9,2,1,0,2,1,23,15,40,0
45,4,9,0,10,4,4,0,0,0,40,1
28,0,15,2,0,0,2,1,0,0,40,0
56,4,15,2,14,0,2,1,0,0,40,0
60,4,11,2,7,5,4,0,0,95,40,0
20,4,11,4,7,3,4,0,0,0,40,1
37,4,9,2,3,0,4,1,0,0,55,1
68,0,11,4,0,3,4,1,0,0,30,1
58,4,15,6,12,1,2,0,0,0,20,1
18,4,15,4,12,3,4,1,0,0,20,1
28,4,15,4,3,2,4,1,0,0,45,1
36,7,15,4,8,3,4,1,0,0,40,1
37,4,4,0,6,4,4,0,0,0,40,1
31,7,8,3,11,1,4,1,0,0,40,1
56,4,15,4,14,3,2,1,0,0,12,1
54,4,6,2,4,0,4,1,0,0,40,1
33,4,15,4,8,3,4,1,0,0,25,1
71,6,15,2,1,0,4,1,0,0,60,1
59,4,8,5,13,1,4,0,0,0,40,1
67,4,15,5,1,1,4,1,0,0,40,1
45,4,10,2,7,0,1,1,0,0,35,0
55,4,6,4,8,3,4,1,0,0,20,1
70,4,11,6,7,2,4,0,0,0,48,1
27,0,11,0,0,1,2,1,0,0,40,1
29,4,9,2,12,0,2,1,0,0,40,1
59,4,1,4,3,2,4,0,0,0,40,1
43,7,10,5,10,4,4,0,0,0,40,1
37,4,9,2,12,0,4,1,0,0,50,0
18,4,11,4,12,2,4,1,0,0,30,1
27,4,11,4,3,1,4,1,0,0,40,1
53,4,15,2,12,5,4,0,0,0,68,1
46,4,12,2,10,0,4,1,0,0,40,0
32,4,11,4,8,1,2,1,0,0,16,1
90,4,4,0,3,1,4,1,64,0,40,1
51,4,11,2,9,0,4,1,0,0,50,0
32,5,15,4,4,1,4,1,0,11,55,1
37,4,11,2,4,0,4,1,0,0,40,1
48,6,11,2,4,0,4,1,0,0,55,1
33,4,5,2,6,0,4,1,0,0,40,0
43,0,11,2,0,0,4,1,0,0,24,1
46,4,15,0,8,1,1,0,0,0,27,1
46,4,11,2,1,0,4,1,0,0,40,1
41,4,15,0,1,1,1,0,0,0,40,1
37,0,15,0,0,1,2,0,0,0,33,1
34,2,14,2,10,0,4,1,0,0,40,1
32,1,11,2,1,0,2,1,0,0,40,0
37,4,11,4,5,4,4,0,0,0,45,1
24,5,12,4,13,1,2,0,0,0,40,1
24,4,11,4,12,4,4,0,0,0,40,0
30,4,11,6,3,1,4,1,0,0,40,1
65,6,15,2,8,0,4,1,90,0,30,1
32,6,5,2,3,0,4,1,0,0,40,1
32,4,9,2,13,0,2,1,0,0,40,1
30,1,9,4,4,1,1,0,0,0,45,1
43,4,7,5,10,1,2,1,90,0,36,1
44,4,11,2,12,0,4,1,0,0,40,0
57,4,11,0,12,1,4,0,0,0,40,0
57,0,15,2,0,0,4,1,0,0,60,1
41,4,11,2,11,0,4,1,0,0,50,1
45,4,15,0,4,1,4,1,0,56,50,1
31,4,11,4,3,1,2,0,0,0,40,1
35,0,15,2,0,0,4,1,0,0,45,1
51,4,11,2,3,0,4,1,0,0,48,0
38,4,11,4,4,3,2,1,0,0,40,1
23,4,9,4,12,1,4,1,0,0,25,1
65,4,7,6,12,2,4,1,0,0,40,1
43,4,8,2,10,0,4,1,0,0,65,0
21,1,11,4,5,3,4,1,64,0,60,1
50,0,2,2,0,0,2,1,0,0,50,1
38,4,11,5,12,1,4,1,0,0,40,1
35,6,11,2,4,5,4,0,0,0,50,0
26,1,14,2,10,0,2,1,0,0,45,1
38,4,11,2,7,0,4,1,0,0,40,0
39,4,7,4,1,4,4,1,0,0,40,1
26,4,15,4,3,1,4,0,0,0,48,1
29,4,11,4,3,2,4,0,0,0,60,1
49,4,8,2,10,0,4,1,0,0,15,1
62,4,11,2,8,0,4,1,0,0,40,1
42,4,4,2,8,5,4,0,54,0,35,1
19,4,5,4,8,3,4,1,0,0,30,1
