age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,target
25,4,15,2,4,3,4,1,0,0,12,0
3,7,15,4,14,4,1,1,0,0,40,1
45,4,15,1,4,5,4,1,0,0,40,1
35,8,15,2,13,3,4,1,0,0,73,1
34,4,15,4,1,0,4,0,0,0,40,1
72,4,11,6,7,2,4,1,0,0,40,0
99,4,11,2,5,0,4,1,0,0,11,0
16,3,3,2,1,3,4,1,0,0,78,1
6,4,15,2,14,0,4,1,66,38,40,1
55,5,2,2,8,2,4,1,0,0,40,0
64,4,12,4,9,0,4,1,0,0,38,1
14,4,15,2,1,1,4,0,0,0,40,1
54,4,11,2,6,0,4,1,0,0,26,1
35,4,8,2,8,1,4,1,0,0,38,1
99,3,15,4,13,0,4,0,0,0,40,0
93,1,15,4,2,0,4,1,0,0,40,1
53,4,11,4,4,3,4,1,0,0,69,1
79,4,15,2,3,3,4,1,0,0,40,1
98,4,1,3,7,0,4,0,0,0,45,0
9,4,11,4,14,3,4,0,0,0,40,0
41,8,0,4,14,0,4,1,0,0,40,1
8,4,15,4,1,5,4,1,0,0,40,1
85,8,15,6,4,3,4,1,0,0,78,1
79,4,2,2,6,0,4,0,0,0,40,1
43,4,2,2,1,4,4,1,0,0,87,1
83,2,15,4,13,0,4,1,0,0,40,0
82,8,9,4,8,4,4,0,0,0,40,0
36,4,11,2,5,1,4,0,0,0,94,0
9,4,15,0,4,4,4,0,0,0,51,1
84,7,3,4,8,2,4,1,0,0,40,1
13,4,11,2,8,0,4,0,0,0,40,1
9,4,11,2,3,3,3,1,0,0,40,1
22,4,14,2,3,1,4,0,0,0,42,1
92,6,11,2,5,2,4,1,0,0,40,0
76,4,15,2,12,0,4,1,0,0,29,0
54,4,15,4,2,0,4,1,0,0,40,1
15,4,10,4,12,0,4,0,0,0,40,1
48,4,15,4,9,3,4,0,0,0,40,1
11,0,11,2,2,0,4,1,0,0,40,0
32,4,15,4,4,1,4,1,0,0,40,1
73,5,15,2,2,1,4,1,0,0,1,1
42,4,15,4,0,3,4,0,0,0,26,0
5,0,4,4,9,0,2,1,0,0,6,1
56,4,15,5,5,3,4,1,0,0,40,1
69,7,5,2,9,0,4,0,0,0,40,1
91,4,15,3,1,0,4,1,0,0,40,1
59,4,15,2,5,0,4,1,0,0,8,0
19,2,7,2,14,1,1,1,0,0,40,1
55,7,15,2,12,3,4,1,0,0,27,1
84,5,7,4,2,0,4,1,0,0,47,1
85,4,12,4,10,3,4,1,0,0,16,1
47,4,11,2,13,1,4,0,0,0,40,1
45,4,15,2,14,1,4,1,0,0,40,1
56,4,11,4,1,0,4,1,5,38,73,0
61,4,11,2,13,3,4,0,0,0,40,1
76,4,11,4,7,0,4,1,0,0,71,1
92,4,11,2,0,1,4,1,0,0,40,1
23,4,1,2,9,1,4,1,0,0,43,1
12,4,13,2,12,1,4,1,0,0,61,1
75,2,11,3,13,1,4,1,0,0,40,1
65,5,15,2,11,0,4,1,0,0,77,1
75,4,15,2,1,1,4,0,0,0,40,1
12,4,10,2,10,1,4,1,0,0,49,1
71,4,11,2,6,0,4,0,0,0,30,1
57,3,3,4,14,3,4,1,0,0,9,1
1,4,11,4,6,3,4,1,0,0,64,1
74,4,10,4,11,1,2,1,0,0,42,1
42,4,14,4,14,0,4,1,0,0,40,1
9,4,11,0,7,0,4,1,0,0,24,0
19,4,15,2,14,3,4,1,0,0,40,0
82,6,15,4,9,1,4,1,0,0,99,0
38,4,11,2,3,0,4,1,0,0,40,1
12,4,11,2,14,0,4,1,0,0,36,0
15,8,7,2,8,3,4,1,0,0,71,1
79,4,11,5,13,0,4,1,0,0,40,1
83,4,13,4,2,1,4,0,0,0,26,1
